"Zenith_Z-89"
"PowerBook_140"
"IBM_5100"
"PC-8000_Series"
"NES_Advantage"
"NeXTstation"
"Meizu_M6_miniPlayer"
"Twentieth_Anniversary_Macintosh"
"GP32"
"Olivetti_P6060"
"TRS-80_Color_Computer"
"Dell_Streak"
"Playdia"
"Canon_Cat"
"PlayTV"
"HP_110"
"Sega_Saturn"
"Thomson_TO8"
"SheevaPlug"
"PowerBook_Duo"
"Gradiente_Expert"
"Pebble_Time"
"PowerBook_Duo_230"
"Cowon_Z2_Plenue"
"Xserve"
